24 21 22 15 53 60 1 23 14 18 59 8 7 12 13 54 38 43 46 58 45 57 37 9 29 4 56 27 34 36 40 52 2 25 31 19 35 26 44 41 17 49 48 51 50 11 20 39 42 28 47 33 30 55 6 10 16 3 5 32 
55 49 30 36 50 2 25 39 33 22 26 27 32 19 58 9 1 35 12 6 52 53 20 21 5 38 16 13 37 41 59 15 48 47 4 3 18 24 51 54 45 29 7 57 56 34 43 10 23 44 60 46 14 40 17 42 8 31 28 11 
8 31 57 42 13 24 54 19 35 46 11 58 17 50 41 47 44 39 43 14 2 38 3 21 7 37 56 22 33 16 53 5 4 10 52 49 36 25 28 40 59 34 51 30 29 9 55 26 23 45 18 27 48 32 6 20 1 60 12 15 
30 25 3 58 20 6 12 2 4 27 16 13 56 49 47 45 37 57 17 19 31 42 48 24 21 34 41 9 11 43 32 22 40 51 52 53 46 54 36 8 14 50 23 29 18 38 55 39 10 33 59 44 5 7 35 15 28 26 60 1 
41 21 13 34 9 46 3 29 51 14 17 57 15 40 7 5 19 20 43 36 32 18 1 28 12 24 60 44 27 35 16 30 52 42 10 59 53 58 4 2 39 56 54 8 26 37 47 11 50 31 22 48 25 49 45 23 33 55 6 38 
21 53 12 3 57 48 59 26 36 22 49 7 39 29 23 41 31 35 56 34 44 10 33 46 52 25 6 60 17 16 40 24 55 28 45 51 20 42 47 18 43 13 2 50 15 58 27 14 4 5 8 32 30 37 9 19 1 54 38 11 
39 14 33 13 9 23 12 54 47 32 36 18 29 2 58 27 8 34 55 11 31 28 48 51 42 30 3 1 7 40 56 10 22 49 52 17 45 25 21 59 43 20 50 44 41 26 24 60 4 37 38 46 15 19 16 57 5 35 53 6 
55 21 47 24 31 38 23 46 25 18 14 54 45 16 32 41 60 9 28 39 57 1 29 13 8 44 42 2 19 10 37 6 48 3 59 50 4 53 33 49 12 15 52 5 20 43 58 7 56 30 11 51 35 36 34 27 26 40 22 17 
27 23 13 5 20 28 3 57 43 2 29 50 21 6 1 48 4 31 26 34 16 36 32 59 42 37 38 39 56 10 30 45 7 24 8 33 53 41 49 14 46 40 35 9 22 18 54 11 58 17 19 15 25 47 44 60 12 52 55 51 
27 4 29 24 33 43 48 47 58 38 19 17 22 10 16 34 30 46 26 45 6 18 7 12 8 51 49 2 32 57 59 54 1 60 35 55 36 53 50 15 37 20 39 25 9 41 11 28 42 14 31 52 40 21 56 44 3 5 23 13 
