30 23 25 15 16 18 11 24 26 13 21 10 6 5 19 12 1 22 7 8 14 29 27 9 28 4 3 20 17 2 
23 16 10 17 27 26 22 28 9 5 18 21 1 6 30 11 4 13 24 12 8 15 3 29 2 19 14 7 25 20 
4 19 27 9 12 5 30 1 13 21 20 11 24 26 25 22 2 6 28 18 17 16 29 7 3 14 23 15 10 8 
7 13 2 28 6 12 26 3 8 11 21 25 9 14 17 16 30 15 1 23 19 22 27 24 18 29 5 4 10 20 
18 7 21 26 1 2 10 14 29 15 24 22 6 8 28 4 11 13 27 9 17 23 25 20 5 30 12 16 19 3 
6 19 25 7 12 26 28 11 10 15 5 2 29 27 1 30 18 14 8 21 13 9 24 23 20 17 16 4 22 3 
3 12 21 4 28 6 16 2 15 25 30 1 8 9 5 27 11 17 14 20 29 13 7 23 10 19 24 22 18 26 
23 19 8 2 29 27 28 6 10 18 24 12 30 5 9 26 4 15 21 17 14 13 25 16 1 7 20 11 22 3 
27 25 12 10 23 3 18 24 17 20 6 15 8 29 28 22 21 13 2 30 19 7 14 4 5 16 1 9 11 26 
12 20 21 5 4 29 30 2 26 13 8 15 6 14 24 19 1 27 23 25 22 10 18 16 11 7 28 9 3 17 
11 17 21 14 13 4 3 27 29 15 10 5 6 18 20 12 7 26 16 1 30 9 25 22 19 8 2 24 28 23 
15 19 18 24 14 30 10 7 26 3 1 13 29 23 9 21 2 22 11 25 27 8 4 28 6 16 20 12 5 17 
6 8 29 21 18 12 1 5 24 2 22 27 10 19 23 11 14 15 28 9 4 25 3 16 7 26 20 17 30 13 
2 3 30 21 20 15 13 12 1 7 29 25 16 6 10 19 26 28 24 18 11 4 14 9 23 5 22 17 27 8 
11 18 28 3 25 22 30 20 7 4 23 16 27 29 24 8 10 6 15 13 17 1 9 2 19 14 21 26 12 5 
6 25 23 28 17 30 2 1 5 26 19 7 13 11 27 16 20 12 15 18 9 21 24 4 3 14 29 10 22 8 
13 8 24 27 29 23 21 1 18 9 3 4 22 5 30 25 7 26 15 16 20 19 6 14 28 12 11 17 10 2 
16 3 28 22 14 15 26 1 30 24 18 2 17 13 25 23 8 9 19 29 11 6 21 20 12 5 7 10 4 27 
19 24 16 12 22 25 2 28 13 26 4 10 29 9 3 6 27 30 15 1 17 8 11 23 7 20 21 18 5 14 
5 20 16 18 23 3 12 30 29 6 10 4 14 25 11 24 7 27 28 19 2 8 15 1 26 22 13 9 17 21 
29 17 21 20 4 18 5 10 8 23 14 30 28 6 16 2 27 3 1 9 25 24 11 19 12 13 15 7 22 26 
17 15 18 27 3 28 20 9 22 25 8 11 21 6 24 23 5 13 12 10 29 14 1 16 19 2 30 26 4 7 
16 11 29 19 1 3 5 8 13 17 24 22 2 30 26 9 23 12 28 21 20 7 4 18 10 25 14 27 15 6 
23 14 5 22 30 16 21 1 28 7 19 12 6 18 3 20 26 9 24 29 25 4 27 8 2 10 13 11 17 15 
28 3 8 24 17 1 9 26 18 21 20 5 7 11 22 15 29 2 23 4 16 6 12 19 13 14 25 27 30 10 
24 2 8 16 9 17 22 14 20 6 28 29 27 12 1 18 30 26 13 21 5 23 15 11 7 19 3 4 10 25 
4 2 26 16 28 24 7 3 10 8 18 9 1 23 15 21 12 13 29 14 22 5 17 6 25 27 19 20 11 30 
26 13 17 9 30 3 1 25 21 22 7 5 10 11 24 12 20 14 16 8 15 2 27 28 23 6 29 19 4 18 
26 24 7 30 11 16 28 3 29 22 25 18 15 4 6 9 21 14 1 2 5 19 13 20 8 27 10 17 12 23 
26 21 20 3 5 17 10 16 13 7 19 12 23 9 2 1 18 25 22 8 6 24 28 11 30 29 14 15 4 27 
18 25 12 17 26 3 22 11 21 10 15 7 6 1 30 14 24 23 8 28 5 19 16 4 2 20 27 29 13 9 
17 9 10 22 1 4 15 30 6 25 18 8 20 24 5 27 21 11 13 7 12 2 26 16 29 3 14 28 23 19 
13 7 28 18 21 11 16 20 22 9 12 6 3 30 15 24 26 17 14 4 19 25 29 5 27 2 23 1 8 10 
30 24 20 21 11 18 26 1 7 9 23 4 15 17 29 14 22 25 3 2 19 12 8 5 27 28 10 6 16 13 
14 6 1 2 23 10 26 12 21 17 5 7 25 3 30 29 11 13 24 8 9 16 22 4 27 15 20 19 28 18 
28 30 2 23 13 1 22 29 19 27 4 25 18 24 21 5 8 11 17 10 7 14 26 6 12 9 16 15 20 3 
7 6 11 1 15 3 13 12 5 25 27 24 16 30 22 23 2 29 19 10 21 26 17 8 20 28 18 14 9 4 
12 17 10 22 2 18 29 19 27 11 5 30 3 4 24 16 28 8 20 21 23 7 13 1 25 9 26 15 14 6 
20 1 22 23 6 5 14 2 27 28 29 12 11 8 19 7 16 15 17 24 25 9 10 18 21 4 13 30 26 3 
