10 39 7 24 9 30 37 13 31 6 21 28 35 23 38 3 1 5 36 33 27 17 12 14 29 34 32 16 18 15 25 8 11 40 2 4 19 26 22 20 
11 37 29 5 3 9 8 23 12 7 36 4 39 35 24 20 16 18 10 31 33 25 6 15 14 40 17 26 21 1 2 34 27 28 22 32 30 38 13 19 
21 30 29 36 1 20 17 15 19 16 26 13 12 3 32 24 10 40 2 34 18 5 14 8 23 33 28 27 7 31 35 37 9 22 4 11 25 38 6 39 
14 28 25 29 8 20 15 4 12 3 34 27 11 23 17 39 6 40 10 21 5 9 31 7 36 38 30 24 18 2 16 13 19 33 22 32 1 35 37 26 
20 15 23 24 10 39 22 16 32 36 5 1 34 8 19 26 35 2 27 31 18 29 12 40 4 33 13 11 37 30 28 9 21 7 17 38 25 6 3 14 
26 10 2 3 32 29 31 23 40 30 14 1 21 34 36 38 5 25 4 33 27 16 28 18 15 6 35 37 9 19 8 12 11 17 24 13 39 20 7 22 
25 17 19 2 16 18 38 7 21 34 32 33 37 15 5 10 22 20 8 24 31 3 39 23 29 28 6 11 30 26 35 13 9 36 12 27 14 1 4 40 
38 11 19 6 23 4 5 9 14 28 39 20 40 30 33 12 16 29 21 3 37 17 15 8 2 24 27 22 18 36 25 34 10 26 31 35 32 13 1 7 
35 33 16 6 34 10 40 9 36 1 39 20 29 2 22 15 30 23 12 38 11 37 24 7 5 17 28 25 21 27 8 4 26 32 3 14 31 19 13 18 
26 7 31 3 38 30 4 5 11 14 12 1 24 16 29 23 34 18 28 21 9 33 25 13 27 40 15 37 17 22 19 39 6 10 35 20 8 36 32 2 
38 7 6 11 33 18 29 23 12 36 34 25 32 22 31 19 17 10 13 26 3 39 24 28 37 15 21 20 14 9 35 30 40 27 2 5 8 4 1 16 
34 10 37 30 11 3 1 12 14 25 32 9 15 28 21 5 33 2 8 26 29 4 19 23 31 36 24 16 40 7 35 38 17 22 20 13 39 18 6 27 
22 29 18 32 30 2 25 14 31 4 33 16 38 20 5 12 35 39 6 15 28 8 40 11 37 24 3 10 9 13 26 21 36 7 34 1 17 27 23 19 
1 14 19 23 28 2 15 11 24 20 31 22 29 35 33 32 8 6 25 37 10 5 27 13 34 30 26 12 39 18 17 16 38 4 7 9 36 21 3 40 
40 11 34 5 29 6 38 9 15 37 31 33 16 32 3 12 26 14 19 7 36 17 8 20 24 10 18 2 35 25 1 27 21 28 22 23 39 4 30 13 
31 39 16 33 3 5 11 15 6 34 27 35 32 38 28 17 23 4 2 10 40 37 19 26 22 25 36 12 24 29 20 1 13 21 14 30 7 8 18 9 
8 39 29 12 17 3 7 14 30 11 25 33 35 1 16 19 26 18 40 24 4 37 23 13 20 2 31 5 9 6 21 27 38 32 34 36 10 22 15 28 
7 6 31 8 32 38 25 5 2 30 29 16 33 21 4 13 15 28 39 24 40 27 9 19 23 34 18 35 36 1 37 22 17 10 3 20 14 11 12 26 
25 5 35 13 30 4 21 38 33 36 22 3 24 8 10 23 39 20 37 7 12 17 2 6 26 27 9 31 40 15 18 19 28 34 14 1 29 32 16 11 
20 29 12 1 23 2 30 34 33 40 36 13 28 6 7 14 35 16 11 25 4 31 26 39 22 17 10 27 19 32 15 8 18 3 24 38 21 9 37 5 
28 35 16 4 9 32 15 37 26 17 2 36 12 11 21 22 3 40 29 39 5 6 7 18 31 30 25 34 23 13 27 38 20 1 33 10 14 8 19 24 
12 4 26 9 34 17 13 10 8 14 31 11 36 28 40 23 35 16 6 38 7 15 22 20 3 25 37 33 1 29 39 27 21 30 24 32 2 18 5 19 
23 36 9 32 2 27 8 31 29 3 7 26 1 17 19 16 14 18 24 5 6 34 35 21 39 33 11 22 25 28 20 40 13 38 15 10 30 12 37 4 
23 1 2 31 22 24 3 12 28 37 19 20 34 7 36 10 17 38 8 25 14 18 15 9 30 32 6 33 21 26 16 35 40 4 27 11 13 29 5 39 
35 20 18 23 36 34 19 37 14 13 22 11 26 38 40 2 10 39 15 9 1 6 4 27 17 29 30 21 12 25 3 33 28 5 24 31 32 8 16 7 
17 7 1 8 35 34 2 5 37 38 6 26 22 30 12 33 9 24 14 3 27 18 16 28 39 15 13 20 31 23 21 11 10 4 40 25 29 36 19 32 
34 6 40 18 32 37 14 9 7 15 17 4 33 20 35 39 16 30 10 28 26 8 5 24 1 25 31 19 11 22 13 23 3 38 27 2 29 21 12 36 
37 10 9 33 23 14 3 24 17 11 27 7 25 19 13 1 15 29 22 36 32 5 4 20 12 26 2 30 16 8 40 35 18 34 28 21 6 31 39 38 
13 22 28 17 11 3 36 37 6 38 15 33 32 9 2 8 4 23 34 27 14 16 31 12 5 35 19 26 25 40 29 39 7 21 24 1 30 10 20 18 
37 36 7 20 26 31 15 14 22 34 23 1 28 21 38 33 29 18 25 11 35 30 19 39 32 2 12 6 9 17 10 5 24 13 40 27 4 16 3 8 
20 34 37 4 10 31 26 3 9 13 21 11 33 36 25 17 18 32 6 22 16 38 7 2 40 12 1 30 27 39 35 5 19 24 8 29 15 23 28 14 
20 13 28 31 32 38 17 40 33 9 16 3 6 4 12 25 11 24 37 10 7 21 30 34 5 29 22 23 27 26 14 8 1 36 18 15 2 39 19 35 
3 5 4 14 11 15 31 25 32 35 39 10 13 33 38 17 8 12 18 20 19 2 16 9 24 29 34 26 30 37 40 6 1 7 28 36 21 22 23 27 
27 33 31 6 8 39 24 21 36 32 20 7 23 12 16 11 35 10 1 37 17 22 5 29 34 38 14 26 4 40 13 19 18 9 30 3 25 15 28 2 
36 31 6 2 11 34 38 27 26 9 19 32 4 40 3 13 10 15 33 28 5 23 35 8 7 21 12 16 22 24 14 25 20 18 29 1 17 39 37 30 
28 14 38 24 17 10 1 36 33 31 32 12 27 19 7 13 34 9 39 25 16 26 21 5 3 6 35 11 15 8 29 23 18 37 4 30 2 20 40 22 
1 39 5 26 22 13 2 33 27 20 37 25 40 16 9 11 17 24 34 15 31 4 12 30 35 8 18 29 6 19 36 7 28 38 21 10 3 23 32 14 
22 16 9 33 10 13 35 21 39 18 34 12 27 28 36 14 3 20 7 32 19 26 23 1 30 31 8 17 37 25 15 5 29 24 6 40 11 38 2 4 
29 15 40 30 26 33 11 36 13 37 7 6 23 4 8 10 18 16 38 32 25 22 1 34 12 3 27 2 39 17 31 9 35 21 24 19 28 5 20 14 
