5 11 12 16 15 17 18 2 7 10 4 8 20 3 1 13 6 19 14 9 
14 1 16 18 3 2 17 12 9 13 10 7 15 4 19 8 20 11 6 5 
8 15 20 14 17 5 1 7 18 11 3 16 2 6 4 19 9 10 12 13 
5 4 9 6 7 10 2 20 1 18 11 13 3 8 19 14 12 15 17 16 
13 6 3 12 15 1 4 2 18 11 19 7 16 10 8 5 17 14 9 20 
20 17 18 1 7 11 14 4 10 13 6 8 16 5 19 15 3 9 12 2 
8 13 19 18 6 16 9 2 4 12 3 7 10 11 5 15 1 20 17 14 
15 10 1 2 13 12 17 3 16 20 19 18 7 6 8 5 11 14 4 9 
17 8 9 13 20 15 19 1 18 16 4 6 3 14 7 10 5 12 11 2 
13 1 3 7 2 15 14 18 4 6 5 12 9 10 8 20 16 11 17 19 
1 3 13 5 20 19 9 8 12 2 6 14 11 15 18 7 10 17 16 4 
4 1 17 19 8 16 18 15 2 13 7 12 6 14 11 3 9 5 10 20 
20 4 11 16 18 10 7 2 14 8 5 3 9 12 13 17 15 1 19 6 
14 7 8 3 2 19 6 9 17 16 18 4 15 5 10 1 12 11 20 13 
20 1 11 14 8 9 6 19 12 16 13 15 17 2 3 10 4 5 18 7 
1 9 20 7 13 19 3 12 10 4 17 5 16 6 15 11 14 2 8 18 
7 6 9 12 4 15 16 13 10 1 2 19 18 20 5 11 14 17 3 8 
8 10 17 13 20 7 14 2 6 9 1 12 4 3 16 11 15 19 5 18 
16 12 18 2 15 11 5 1 6 19 13 7 4 10 8 9 3 14 20 17 
16 18 20 15 12 14 19 3 6 13 5 17 2 10 9 8 7 1 11 4 
14 10 20 3 1 11 12 15 13 17 6 2 4 8 5 7 9 16 18 19 
16 14 8 9 19 3 20 13 12 1 11 10 5 15 4 7 6 17 2 18 
19 17 2 12 13 4 16 15 18 11 3 10 7 5 14 20 9 8 6 1 
9 15 14 20 10 3 16 12 6 18 2 5 1 17 8 13 11 19 4 7 
13 2 15 5 1 19 3 16 4 20 7 12 18 10 6 8 9 17 11 14 
2 10 3 16 8 7 14 13 1 12 20 6 18 19 11 5 9 15 4 17 
10 14 6 12 5 8 16 7 18 17 2 1 9 4 13 3 15 20 11 19 
14 1 18 2 19 6 17 3 13 20 12 9 10 11 5 4 15 16 7 8 
18 9 1 6 2 4 13 10 16 8 20 7 3 5 14 19 17 11 12 15 
17 19 7 1 3 6 14 11 13 5 12 15 10 4 2 8 18 20 16 9 
20 8 17 15 3 16 6 4 7 18 10 5 13 19 11 9 2 12 14 1 
6 10 11 13 1 14 19 18 8 9 4 3 7 5 20 16 12 15 17 2 
11 3 5 4 14 12 1 10 2 18 6 16 9 8 17 15 19 20 7 13 
19 9 20 12 16 6 4 2 15 18 8 5 14 7 1 11 17 13 3 10 
19 4 18 9 17 2 15 10 1 12 8 14 7 5 3 16 13 6 20 11 
3 4 20 15 14 13 16 9 5 2 6 8 10 7 19 12 18 1 11 17 
1 7 18 14 6 5 8 17 13 9 20 3 19 10 12 11 4 15 2 16 
18 9 16 14 4 15 5 1 12 8 3 19 11 10 6 20 13 17 7 2 
13 8 4 9 5 17 11 1 19 10 15 2 16 14 7 20 6 12 3 18 
15 13 6 1 2 19 18 7 4 3 8 14 10 9 17 12 20 5 11 16 
3 18 15 17 6 14 16 4 2 19 12 1 13 5 8 11 10 9 7 20 
4 1 13 18 15 3 16 9 20 6 19 5 7 12 11 14 10 17 8 2 
6 18 11 7 3 14 17 20 9 8 5 4 12 16 10 15 1 19 2 13 
12 2 5 16 8 3 17 13 10 19 20 7 15 11 4 1 9 18 14 6 
9 18 7 13 5 8 12 17 14 4 1 16 20 6 2 11 15 19 10 3 
11 20 1 9 7 3 8 17 4 12 13 16 19 10 14 6 2 18 5 15 
14 16 20 1 19 4 12 10 11 6 15 9 7 13 5 18 8 2 17 3 
4 2 10 8 5 6 13 3 14 7 20 16 15 1 12 19 18 17 9 11 
15 5 20 19 17 18 4 6 10 3 7 1 13 8 9 11 14 12 2 16 
18 2 13 19 4 11 5 1 14 16 6 20 15 17 12 9 7 3 10 8 
13 9 7 18 1 5 12 15 2 11 6 4 17 19 3 10 8 20 14 16 
16 6 8 7 4 12 3 1 5 9 17 19 13 10 15 2 14 20 18 11 
17 7 10 2 15 20 12 16 19 6 1 14 3 13 11 18 5 9 4 8 
18 4 12 19 20 16 9 6 5 15 2 7 13 11 1 17 3 10 14 8 
2 13 16 12 17 6 4 18 7 20 9 15 10 5 8 19 1 11 14 3 
14 5 8 16 13 11 9 18 6 12 19 7 2 1 15 4 3 10 20 17 
18 14 4 2 13 10 12 9 5 16 3 1 6 20 11 15 19 7 17 8 
2 6 14 1 17 12 5 8 19 15 10 16 11 18 7 13 20 3 4 9 
7 5 20 6 16 12 13 19 1 8 15 10 3 14 11 18 4 9 17 2 
2 3 1 4 16 7 10 13 5 15 8 20 17 11 14 18 9 19 6 12 
6 14 20 19 11 7 4 1 13 5 12 10 17 18 9 16 2 3 8 15 
20 8 3 2 14 18 13 7 1 12 15 11 5 19 16 4 17 9 10 6 
5 12 8 4 14 17 10 11 1 3 20 7 19 15 13 9 6 18 2 16 
15 6 4 19 7 11 20 10 13 3 1 16 18 12 2 14 5 17 9 8 
19 8 12 11 13 7 20 17 1 4 2 16 18 14 9 15 10 3 5 6 
1 5 8 14 2 13 16 10 11 17 6 9 18 12 3 7 15 4 19 20 
6 8 12 10 2 19 3 20 7 17 13 4 5 18 1 16 14 11 15 9 
8 18 17 7 13 16 19 6 9 3 14 2 15 5 11 12 4 10 1 20 
6 19 8 17 16 13 1 20 2 11 10 15 3 12 18 4 7 9 14 5 
4 5 6 9 10 20 8 2 17 3 11 1 15 13 19 18 16 7 14 12 
17 4 3 8 7 12 2 19 14 10 5 20 16 9 13 6 11 18 1 15 
16 19 9 17 14 3 12 1 11 5 4 2 10 8 15 6 13 18 7 20 
7 20 4 1 12 13 11 9 15 2 16 3 14 17 10 5 6 18 19 8 
11 6 10 15 1 3 9 7 18 14 13 12 8 19 17 4 5 2 16 20 
17 7 13 11 4 8 14 16 6 10 19 15 1 18 2 20 5 9 12 3 
12 10 6 18 20 5 3 17 16 13 19 15 4 7 2 9 14 11 1 8 
4 12 3 7 20 15 11 16 2 10 14 6 19 13 9 8 1 18 5 17 
1 12 3 9 2 7 17 16 8 10 6 13 15 5 20 19 18 14 4 11 
18 12 16 3 7 10 15 8 1 19 9 5 6 20 11 13 4 14 17 2 
4 7 15 17 2 14 9 11 13 10 1 16 12 5 6 8 3 19 20 18 
20 19 9 13 11 8 7 14 10 2 15 18 17 16 4 12 3 1 5 6 
17 13 16 12 10 15 14 7 4 20 19 3 18 2 6 11 1 9 8 5 
14 15 12 6 18 16 7 10 5 19 3 4 1 9 13 11 2 20 17 8 
9 7 20 19 6 13 1 18 2 5 10 17 11 16 8 15 12 4 3 14 
5 15 2 18 16 3 4 20 9 17 6 14 11 19 1 12 8 7 10 13 
12 4 2 10 11 1 20 6 7 13 14 17 15 8 16 9 19 5 18 3 
6 19 8 15 3 7 14 12 1 4 11 5 9 16 18 20 2 10 17 13 
3 10 9 13 2 14 16 20 1 11 15 7 19 5 8 6 4 12 17 18 
18 15 7 20 9 2 14 5 3 12 11 16 19 1 13 6 4 17 8 10 
12 17 11 3 2 18 1 8 4 20 16 10 9 15 19 7 6 13 5 14 
20 12 1 9 14 15 4 6 11 5 19 2 7 16 10 18 8 3 17 13 
10 15 11 20 1 13 12 7 2 8 9 14 16 17 18 6 5 4 19 3 
14 16 9 6 2 7 15 5 19 13 12 4 1 8 20 3 11 18 10 17 
10 12 20 9 15 5 3 14 19 17 4 11 2 13 16 8 7 18 6 1 
20 5 14 16 11 2 13 9 18 12 10 15 6 4 17 8 3 19 7 1 
4 13 16 2 10 20 8 18 9 5 15 11 3 12 19 17 14 7 1 6 
16 20 2 13 10 15 5 17 7 19 12 18 3 14 6 8 4 9 11 1 
5 3 6 1 14 8 9 19 17 16 18 4 20 13 15 11 2 12 10 7 
16 8 15 3 1 14 17 20 19 2 12 5 13 6 18 9 4 11 10 7 
10 7 4 20 18 14 11 17 19 8 6 15 12 5 16 13 1 9 2 3 
